Team,History,Cycle,DirAdv,CorpAdv,Commission,AgentsDistr,Training,ManagBudget,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
Historia,0,0,0.0,0.0,0.0,0,1.0,26666.666666666664,0,1.76,0.0,155.0,0.0,0.0,,0,0
Historia,0,1,0.0,0.0,0.0,0,3.0,73333.33333333333,0,1.53,0.0,165.0,0.0,0.0,,0,0
Historia,0,2,0.0,0.0,6.0,0,1.0,90000.0,0,1.58,0.0,165.0,0.0,0.0,,0,0
Historia,0,3,5.0,5.0,6.0,1,0.0,103333.33333333333,0,1.63,440.0,165.0,0.0,0.0,440.0,137,0
Historia,0,4,5.0,8.0,6.0,1,0.0,111666.66666666666,0,2.63,490.0,165.0,0.0,0.0,490.0,141,137
BMC,0,5,35.0,9.8,6.0,1,2.0,136666.66666666666,0,2.63,480.0,164.0,0.0,2.8,492.2,231,141
Banana,0,5,5.0,9.8,3.0,1,2.0,116666.66666666666,0,2.63,500.0,165.0,0.0,2.1,458.625,151,141
Batmaja,0,5,10.0,9.8,12.0,1,22.0,211333.3333333333,0,2.63,480.0,165.0,0.0,2.8,530.375,238,141
MBC,0,5,5.0,9.8,7.0,1,0.0,116666.66666666666,0,2.63,490.0,165.0,0.0,2.2,494.5,156,141
Mioduszewski,0,5,10.0,9.8,7.0,1,5.0,120000.0,0,2.65,505.0,175.0,0.0,1.6,495.0,169,141
Najda,0,5,7.0,9.8,6.0,1,1.0,123333.33333333333,0,2.34,490.0,170.0,0.0,2.4,495.0,166,141
Perspec,0,5,15.0,9.8,6.0,1,3.0,123333.33333333333,0,2.64,490.0,170.0,0.0,2.4,487.0,180,141
Radw,0,5,5.0,9.8,7.0,1,0.0,116666.66666666666,0,2.34,490.0,170.0,0.0,2.3,499.0,157,141
X21,0,5,5.0,9.8,13.0,1,30.0,150000.0,0,2.63,529.0,166.0,0.0,0.0,514.125,186,141
X22,0,5,5.0,9.8,13.0,1,30.0,150000.0,0,2.64,538.0,170.0,0.0,0.0,526.875,181,141
X23,0,5,4.0,9.8,12.0,1,25.0,150000.0,0,2.64,524.0,169.0,0.0,0.0,514.125,151,141
X24,0,5,4.0,9.8,12.0,1,25.0,150000.0,0,2.64,524.0,169.0,0.0,0.0,531.5,154,141
X25,0,5,5.0,9.8,6.0,1,0.0,156666.66666666666,0,2.65,490.0,172.0,0.0,2.4,505.0,168,141
X26,0,5,7.0,9.8,6.0,1,2.0,123333.33333333333,0,2.64,500.0,170.0,0.0,2.3,493.75,160,141
X27,0,5,10.0,9.8,15.0,1,60.0,163333.3333333333,0,2.63,500.0,165.0,0.0,4.1,507.14285714285717,365,141
X28,0,5,6.0,9.8,9.0,1,6.0,127333.33333333333,0,2.63,560.0,165.0,0.0,1.6,499.25,109,141
X29,0,5,10.0,9.8,6.0,1,8.0,123333.33333333333,0,2.65,515.0,175.0,0.0,0.0,507.0,159,141
X30,0,5,9.0,9.8,13.0,1,60.0,150666.66666666666,0,2.63,560.0,165.0,0.0,2.1,500.25,177,141
BMC,0,6,35.0,25.88,6.0,6,3.0,180000.0,39,2.63,480.0,165.0,2.8,11.5,487.8403361344539,538,192
Banana,0,6,5.0,20.88,1.0,2,4.0,136666.66666666666,0,2.63,500.0,165.0,2.1,2.0,504.7959183673468,93,151
Batmaja,0,6,19.0,55.88,12.0,5,37.0,353333.3333333333,55,2.62,524.0,158.0,2.8,9.2,529.9180327868853,394,183
MBC,0,6,10.0,25.88,7.0,3,1.0,116666.66666666666,0,2.63,600.0,165.0,2.2,3.4,514.73125,203,156
Mioduszewski,0,6,10.0,20.88,7.0,2,8.0,131666.66666666666,60,2.65,530.0,170.0,1.6,6.7,498.13084112149534,274,109
Najda,0,6,9.0,12.879999999999999,6.0,2,2.0,187333.3333333333,0,2.35,495.0,175.0,2.4,6.8,497.0512820512821,275,166
Perspec,0,6,25.0,30.88,6.0,3,7.0,143333.3333333333,25,2.66,480.0,180.0,2.4,4.4,484.6923076923077,428,155
Radw,0,6,5.0,15.879999999999999,7.0,2,0.0,116666.66666666666,0,2.3,490.0,150.0,2.3,4.6,508.03921568627453,279,157
X21,0,6,10.0,19.88,13.0,5,40.0,200000.0,1,2.63,492.0,166.0,0.0,0.0,481.625,391,185
X22,0,6,10.0,20.88,13.0,5,35.0,200000.0,0,2.64,490.0,170.0,0.0,10.0,528.125,467,181
X23,0,6,10.0,20.88,12.0,4,37.0,200000.0,0,2.64,525.0,169.0,0.0,0.0,458.0,370,151
X24,0,6,10.0,20.88,12.0,4,37.0,200000.0,0,2.65,485.0,174.0,0.0,0.0,507.0,413,154
X25,0,6,5.0,20.88,6.0,3,0.0,216666.66666666666,0,2.65,510.0,172.0,2.4,3.9,506.93939393939394,365,168
X26,0,6,9.0,12.879999999999999,6.0,1,6.0,133333.3333333333,0,2.64,500.0,170.0,2.3,2.4,492.63975155279496,120,160
X27,0,6,28.0,20.88,15.0,4,70.0,246666.66666666666,81,2.63,470.0,165.0,4.1,15.8,423.70129870129875,974,284
X28,0,6,8.0,16.88,9.0,2,10.0,153333.3333333333,0,2.64,520.0,168.0,1.6,7.1,516.2202380952382,310,109
