Team,History,Cycle,DirAdv,CorpAdv,Commission,AgentsDistr,Training,ManagBudget,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
Historia,0,0,0.0,0.0,7.0,0,1.0,26666.666666666664,0,1.75,0.0,300.0,0.0,0.0,,0,0
Historia,0,1,10.0,15.0,7.0,2,3.0,73333.33333333333,0,1.53,680.0,325.0,0.0,0.0,680.0,224,0
Historia,0,2,10.0,19.0,7.0,3,1.0,90000.0,0,1.58,680.0,325.0,0.0,0.0,680.0,388,224
Historia,0,3,10.0,21.4,7.0,3,0.0,103333.33333333333,0,1.63,690.0,325.0,0.0,0.0,690.0,449,388
Historia,0,4,10.0,22.84,7.0,3,0.0,111666.66666666666,0,1.68,700.0,325.0,0.0,0.0,700.0,374,449
BMC,0,5,35.0,23.704,7.0,3,2.0,136666.66666666666,13,1.73,730.0,327.0,0.0,11.7,737.2,472,361
Banana,0,5,10.0,23.704,8.0,3,2.0,116666.66666666666,13,1.75,650.0,350.0,0.0,7.7,636.75,508,361
Batmaja,0,5,17.0,23.704,11.0,3,22.0,211333.3333333333,13,1.72,879.0,320.0,0.0,5.5,830.0,331,361
MBC,0,5,10.0,23.704,7.0,3,0.0,116666.66666666666,13,1.73,690.0,325.0,0.0,7.7,695.625,422,361
Mioduszewski,0,5,15.0,23.704,8.0,3,5.0,120000.0,13,1.74,725.0,340.0,0.0,8.9,714.0,446,361
Najda,0,5,7.0,23.704,7.0,3,1.0,123333.33333333333,13,1.73,700.0,325.0,0.0,9.4,704.0,401,361
Perspec,0,5,20.0,23.704,7.0,3,3.0,123333.33333333333,13,1.73,720.0,330.0,0.0,9.6,701.0,401,361
Radw,0,5,5.0,23.704,7.0,3,0.0,116666.66666666666,13,1.73,700.0,330.0,0.0,7.9,713.0,388,361
X21,0,5,12.0,23.704,13.0,3,30.0,150000.0,13,1.73,912.0,328.0,0.0,0.0,844.125,297,361
X22,0,5,10.0,23.704,13.0,3,30.0,150000.0,13,1.74,898.0,335.0,0.0,0.0,845.75,311,361
X23,0,5,9.0,23.704,13.0,3,25.0,150000.0,13,1.73,908.0,329.0,0.0,0.0,777.125,281,361
X24,0,5,9.0,23.704,13.0,3,25.0,150000.0,13,1.73,908.0,329.0,0.0,0.0,836.625,293,361
X25,0,5,10.0,23.704,7.0,3,0.0,156666.66666666666,13,1.75,700.0,345.0,0.0,7.8,724.375,434,361
X26,0,5,10.0,23.704,7.0,3,2.0,123333.33333333333,13,1.74,710.0,340.0,0.0,7.3,736.25,406,361
X27,0,5,16.0,23.704,12.0,3,60.0,163333.3333333333,13,1.73,930.0,325.0,0.0,5.6,735.625,301,361
