Team,History,Cycle,DirAdv,CorpAdv,Support,FailedVisits,Training,ManagBudget,WebDev,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
Historia,0,0,0.0,0.0,0.0,100.0,1.0,26666.666666666664,0.0,0,1.75,0.0,300.0,0.0,0.0,,0,0
Historia,0,1,0.0,0.0,0.0,100.0,3.0,73333.33333333333,0.0,0,1.53,0.0,325.0,0.0,0.0,,0,0
Historia,0,2,0.0,0.0,0.0,100.0,1.0,90000.0,0.0,0,1.58,0.0,325.0,0.0,0.0,,0,0
Historia,0,3,0.0,0.0,9.0,0.09999999999999432,0.0,103333.33333333333,15.0,0,1.63,0.0,325.0,0.0,0.0,,0,0
Historia,0,4,5.0,10.0,9.0,0.09999999999999432,0.0,111666.66666666666,15.0,0,1.68,850.0,325.0,0.0,0.0,850.0,92,0
BMC,0,5,10.0,16.0,13.0,0.09999999999999432,2.0,136666.66666666666,20.0,0,1.73,775.0,327.0,0.0,12.7,863.2,307,92
Banana,0,5,5.0,16.0,11.0,0.09999999999999432,2.0,116666.66666666666,25.0,0,1.75,870.0,350.0,0.0,8.0,777.375,187,92
Batmaja,0,5,17.0,16.0,20.0,0.09999999999999432,22.0,211333.3333333333,20.0,0,1.72,889.0,320.0,0.0,8.8,889.5,263,92
MBC,0,5,5.0,16.0,15.0,0.5,0.0,116666.66666666666,25.0,0,1.73,850.0,325.0,0.0,6.5,838.625,196,92
Mioduszewski,0,5,15.0,16.0,15.0,0.09999999999999432,5.0,120000.0,25.0,0,1.74,880.0,340.0,0.0,7.0,855.0,211,92
Najda,0,5,6.0,16.0,11.0,0.09999999999999432,1.0,123333.33333333333,25.0,0,1.73,850.0,325.0,0.0,7.3,854.0,196,92
Perspec,0,5,20.0,16.0,15.0,2.9000000000000057,3.0,123333.33333333333,24.0,0,1.73,820.0,330.0,0.0,6.9,841.0,268,92
Radw,0,5,5.0,16.0,9.0,0.09999999999999432,0.0,116666.66666666666,20.0,0,1.73,725.0,330.0,0.0,11.2,813.0,241,92
X21,0,5,9.0,16.0,25.0,0.09999999999999432,30.0,150000.0,16.0,0,1.73,936.0,328.0,0.0,0.0,905.125,207,92
X22,0,5,8.0,16.0,25.0,0.09999999999999432,30.0,150000.0,16.0,0,1.74,920.0,335.0,0.0,0.0,905.75,218,92
X23,0,5,8.0,16.0,27.0,0.09999999999999432,25.0,150000.0,16.0,0,1.73,973.0,329.0,0.0,0.0,839.25,182,92
X24,0,5,8.0,16.0,27.0,0.09999999999999432,25.0,150000.0,16.0,0,1.73,973.0,329.0,0.0,0.0,919.5,181,92
X25,0,5,5.0,16.0,9.0,0.09999999999999432,0.0,156666.66666666666,15.0,0,1.75,775.0,345.0,0.0,5.1,853.125,230,92
X26,0,5,7.0,16.0,10.0,0.09999999999999432,2.0,123333.33333333333,20.0,0,1.74,865.0,340.0,0.0,4.8,863.125,175,92
X27,0,5,14.0,16.0,20.0,0.09999999999999432,60.0,163333.3333333333,20.0,0,1.73,930.0,325.0,0.0,9.4,836.875,214,92
X28,0,5,6.0,16.0,10.0,0.09999999999999432,6.0,127333.33333333333,20.0,0,1.73,867.0,325.0,0.0,8.8,850.125,184,92
X29,0,5,13.0,16.0,9.0,0.09999999999999432,8.0,123333.33333333333,25.0,0,1.74,850.0,335.0,0.0,0.0,859.5,214,92
X30,0,5,10.0,16.0,28.0,0.09999999999999432,60.0,150666.66666666666,21.0,0,1.73,950.0,325.0,0.0,8.1,871.25,183,92
BMC,0,6,10.0,64.6,15.0,0.09999999999999432,3.0,180000.0,20.0,82,1.78,775.0,330.0,12.7,17.4,838.4774535809017,240,225
Banana,0,6,5.0,29.6,8.0,0.09999999999999432,4.0,136666.66666666666,25.0,30,1.77,870.0,315.0,8.0,8.5,867.6923076923077,139,157
Batmaja,0,6,13.0,108.6,20.0,0.09999999999999432,37.0,353333.3333333333,20.0,22,1.76,941.0,310.0,8.8,8.2,877.6736000000001,160,241
MBC,0,6,10.0,29.6,15.0,0.4000000000000057,1.0,116666.66666666666,35.0,55,1.78,999.0,325.0,6.5,6.2,859.4501992031873,107,141
Mioduszewski,0,6,15.0,24.6,15.0,0.0,8.0,131666.66666666666,25.0,83,1.79,905.0,330.0,7.0,11.1,860.0254452926209,160,128
Najda,0,6,8.0,24.6,15.0,0.09999999999999432,2.0,187333.3333333333,35.0,73,1.78,860.0,330.0,7.3,12.6,857.4273255813954,179,123
Perspec,0,6,30.0,49.6,16.0,21.099999999999994,7.0,143333.3333333333,30.0,157,1.79,820.0,340.0,6.9,13.1,841.9744318181818,191,111
Radw,0,6,5.0,19.6,9.0,0.20000000000000284,0.0,116666.66666666666,20.0,44,1.75,725.0,300.0,11.2,12.8,809.2872340425532,191,197
X21,0,6,9.0,65.6,25.0,0.20000000000000284,40.0,200000.0,20.0,0,1.78,790.0,328.0,0.0,0.0,724.0,215,207
X22,0,6,12.0,64.6,25.0,0.20000000000000284,35.0,200000.0,20.0,1,1.79,766.0,335.0,0.0,13.1,847.125,246,217
X23,0,6,5.0,58.6,20.0,0.09999999999999432,37.0,200000.0,20.0,0,1.78,830.0,329.0,0.0,0.0,746.5,190,182
X24,0,6,5.0,58.6,20.0,0.09999999999999432,37.0,200000.0,20.0,0,1.79,830.0,335.0,0.0,0.0,842.5,185,181
X25,0,6,8.0,24.6,9.0,0.09999999999999432,0.0,216666.66666666666,20.0,124,1.8,775.0,345.0,5.1,11.0,853.3264033264034,227,106
X26,0,6,5.0,19.6,10.0,0.09999999999999432,6.0,133333.3333333333,25.0,67,1.79,870.0,340.0,4.8,6.9,869.3641618497109,158,108
X27,0,6,15.0,39.6,20.0,0.09999999999999432,70.0,246666.66666666666,20.0,0,1.78,760.0,325.0,9.4,12.2,836.8301886792453,312,214
X28,0,6,8.0,24.6,10.0,0.09999999999999432,10.0,153333.3333333333,20.0,1,1.78,760.0,330.0,8.8,10.4,840.4775510204082,192,183
X29,0,6,14.0,24.6,9.0,0.0,11.0,133333.3333333333,40.0,56,1.79,849.0,335.0,0.0,0.0,859.875,176,158
X30,0,6,15.0,34.6,28.0,0.09999999999999432,70.0,201666.66666666666,21.0,0,1.78,760.0,325.0,8.1,11.9,845.2737430167597,232,183
BMC,0,7,10.0,93.75999999999999,15.0,0.20000000000000284,3.0,200000.0,20.0,0,2.78,800.0,330.0,17.4,18.3,848.8032128514055,295,240
Banana,0,7,5.0,27.759999999999998,11.0,0.4000000000000057,5.0,166666.66666666666,10.0,0,2.49,900.0,330.0,8.5,9.2,863.8260869565217,165,139
Batmaja,0,7,7.0,164.16,20.0,0.09999999999999432,37.0,353333.3333333333,20.0,0,2.46,780.0,310.0,8.2,5.5,825.6671449067431,276,160
MBC,0,7,10.0,37.76,15.0,0.29999999999999716,2.0,116666.66666666666,25.0,0,2.49,875.0,330.0,6.2,10.7,839.3670668953688,194,107
Mioduszewski,0,7,12.0,29.759999999999998,15.0,0.0,13.0,141666.66666666666,20.0,0,1.56,880.0,350.0,11.1,12.7,856.7857142857143,208,160
Najda,0,7,11.0,54.76,17.0,0.29999999999999716,3.0,268333.3333333333,40.0,0,1.84,860.0,335.0,12.6,13.8,860.5145631067961,249,179
Perspec,0,7,25.0,104.75999999999999,20.0,2.0,6.0,161666.66666666666,35.0,0,2.79,820.0,335.0,13.1,15.9,848.2604735883426,277,191
